event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
2025 FIS FREESTYLE NORAM CUP,2025-03-01,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Qualification,COOTE Xanthia,2538150,AUS,3,70.1,12.73,45.7,11.67,1,bG,0.92,5.2,6.2,2,bp,0.81,8.3,7.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Women's Moguls,Results Qualification,COOTE Xanthia,2538150,AUS,31,41.8,10.89,20.5,10.41,1,bT,0.78,6.9,7.3,2,bG,0.92,5.0,5.6
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Men's Moguls,Results Final,GRAHAM Matt,2441426,AUS,2,83.5,17.89,50.6,15.01,1,bF,0.88,8.2,8.4,2,10op,1.05,7.2,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,4,80.73,15.38,48.4,16.95,1,bdF,1.05,8.3,8.3,2,10op,1.05,7.9,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,2,79.32,16.92,46.5,15.9,1,bdF,1.05,8.2,7.7,2,10op,1.05,7.3,7.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,7,77.18,15.6,46.0,15.58,1,bdF,1.05,7.8,8.3,2,10op,1.05,6.9,6.7
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,6,78.49,17.23,47.4,13.86,1,bdF,1.05,6.8,6.3,2,7op,0.88,8.1,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,1,81.27,17.96,49.1,14.21,1,10op,1.05,7.1,7.5,2,7op,0.88,7.6,7.3
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,5,85.6,17.49,52.4,15.71,1,10op,1.05,8.4,8.3,2,7op,0.88,8.0,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,5,78.47,17.64,47.0,13.83,1,10op,1.05,7.5,7.8,2,7op,0.88,6.5,6.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,7,76.12,16.65,46.4,13.07,1,bdF,1.05,5.8,5.2,2,10op,1.05,7.0,6.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,9,73.85,17.89,45.1,10.86,1,bF,0.88,7.9,8.0,2,7op,0.88,4.7,4.1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,13,61.44,16.73,29.9,14.81,1,10op,1.05,8.1,7.9,2,7op,0.88,7.6,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,9,73.75,17.86,43.7,12.19,1,10op,1.05,7.1,6.0,2,7op,0.88,6.4,5.7
FIS FREESTYLE SKI WORLD CUP 2024,2024-03-08,ALMATY (KAZ),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,3,77.98,16.09,48.3,13.59,1,bdF,1.05,7.4,7.1,2,10op,1.05,5.9,5.5
