event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,SHIMAKAWA Takuya,2530672,JPN,16,70.42,17.07,42.4,10.95,1,7oG,1.01,5.5,5.5,2,7op,0.88,6.1,6.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,AUS,7,77.18,15.6,46.0,15.58,1,bdF,1.05,7.8,8.3,2,10op,1.05,6.9,6.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,CAN,2,80.85,15.29,48.3,17.26,1,bdF,1.05,7.7,8.1,2,10op,1.05,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,SWE,6,33.74,10.6,15.4,7.74,1,bF,0.88,8.7,8.9,2,NJ,0.0,0.0,0.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,TOMITAKA Hinako,2532031,JPN,20,59.22,14.73,35.2,9.29,1,bp,0.81,5.7,5.9,2,7op,0.98,4.4,5.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,MERZ Annika,2535327,GER,29,20.53,12.43,1.0,7.1,1,bG,0.92,4.3,4.1,2,bp,0.81,4.0,4.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,CARROLL Avital,2529074,AUT,7,76.06,18.03,43.2,14.83,1,7oG,1.11,6.4,6.5,2,bG,0.92,8.3,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,JPN,3,81.36,18.23,46.6,16.53,1,7oG,1.01,9.2,8.8,2,10op,1.05,6.7,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,PAGE Nick,2533462,USA,4,80.82,16.83,47.0,16.99,1,7oG,1.01,8.3,8.2,2,10op,1.05,8.4,8.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,JPN,1,80.43,15.34,48.1,16.99,1,7oG,1.01,8.2,8.3,2,10op,1.05,8.4,8.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,CAN,3,78.56,15.03,47.1,16.43,1,bdF,1.05,7.2,7.6,2,10op,1.05,8.4,8.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,MATSUDA So,2531671,JPN,14,58.47,16.07,29.9,12.5,1,bF,0.88,7.9,8.6,2,7oG,1.01,5.4,5.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,GERKEN SCHOFIELD,2530540,GBR,7,73.37,16.94,44.7,11.73,1,bG,0.92,6.5,6.7,2,bp,0.81,6.8,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,IHARA Haruka,2531368,JPN,15,65.42,16.48,40.0,8.94,1,bG,0.92,5.1,5.1,2,bp,0.81,5.3,5.2
