event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Women's Moguls,2530274,CABROL Camille,FRA,1,0,0
Women's Moguls,2537262,CAO Tianqing,CHN,0,0,0
Women's Moguls,2538479,CARR Cali,GBR,0,0,0
Men's Moguls,2533776,CAYOLLE Tristan,FRA,0,0,0
Men's Moguls,2534234,CHALIFOUX Louis-,CAN,1,0,0
Women's Moguls,2535616,CHAPDELAINE Reese,USA,2,0,0
Men's Moguls,2527600,CHUNLAUD Kerrian,CAN,0,0,0
Women's Moguls,2537409,CIAGLO Megan,USA,0,0,0
Men's Moguls,2537640,CLARK Mason,USA,0,0,0
Women's Moguls,2538200,CLEGG Sina,CAN,1,0,0
Men's Moguls,2538079,COHEN Jiah,USA,1,0,0
Men's Moguls,2532502,CONEDERA Martino,SUI,0,0,0
Women's Moguls,2538298,COOPER Annika,CAN,0,0,0
Men's Moguls,2539013,COOPER Owen,CAN,0,0,0
Women's Moguls,2539505,COORS Julia,USA,0,0,0
Women's Moguls,2538150,COOTE Xanthia,AUS,1,0,0
Men's Moguls,2539513,COVELL Jackson,USA,0,0,0
Men's Moguls,2534116,CROCKETT Jackson,USA,1,0,0
Men's Moguls,2537583,CROSBIE Daniel,USA,0,0,0
Men's Moguls,2533249,CROZET James,FRA,0,0,0
Men's Moguls,2538029,CROZET Leo,FRA,0,0,0
Men's Moguls,2539974,CUPP Jackson,USA,0,0,0
Men's Moguls,2537875,DAMORE Trae,USA,0,0,0
Women's Moguls,2534386,DAVIS August,USA,0,0,0
Men's Moguls,2537715,DAY Sawyer,CAN,0,0,0
Women's Moguls,2533547,DEGROOTE Fantine,FRA,0,0,0
Women's Moguls,2531811,DESMARAIS-GILBERT,CAN,1,0,0
Women's Moguls,2539675,DICKEY Kenadie,USA,0,0,0
Men's Moguls,2540078,DODD Milo,GBR,0,0,0
Women's Moguls,2535435,DOOLEY Claire,IRL,0,0,0
Men's Moguls,2537599,DOOLEY Thomas,IRL,0,0,0
Women's Moguls,2538890,DREITLEIN Katie,USA,0,0,0
Women's Moguls,2537443,DUAUX Marie,FRA,0,0,0
Men's Moguls,2535858,DUBUC Joey,CAN,3,0,0
Women's Moguls,2537528,DUDA Jessica,USA,0,0,0
Men's Moguls,2539666,DUFOUR Alexis,CAN,0,0,0
Men's Moguls,2530240,DUFRESNE Gabriel,CAN,0,0,0
Women's Moguls,2535605,DWINELL Zoe,USA,0,0,0
Women's Moguls,2537081,ECKLE Laura,GER,0,0,0
Men's Moguls,2538063,EGAN Jack,USA,0,0,0
Women's Moguls,2538314,ELLIOT Chelsea,CAN,0,0,0
Men's Moguls,2535562,FABIANI Mathis,FRA,0,0,0
Women's Moguls,2539209,FEKLISTOVA Yuliya,KAZ,0,0,0
Men's Moguls,2531950,FENELEY William,GBR,0,0,0
Men's Moguls,2539356,FERREIRA Munayo,USA,0,0,0
Men's Moguls,2528117,FJALLSTROM Ludvig,SWE,1,0,0
Women's Moguls,2539684,FOREST Raphaelle,CAN,0,0,0
Men's Moguls,2537258,FU Junyi,CHN,0,0,0
Men's Moguls,2538852,FUGERE Simon,CAN,1,0,0
